record_id,pack_en,pack_es,collector_number,name_en,name_es,category,set_en,set_es,source_en,source_es,marvelcdb_code,marvelcdb_alternate_codes,match_status
core-set-1-spider-man,Core Set,Caja básica,1,Spider-Man,Spiderman,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01001a,01001b,verified-upstream-json-2026-09-07
core-set-2-black-cat-felicia-hardy,Core Set,Caja básica,2,Black Cat: Felicia Hardy,Gata Negra: Felicia Hardy,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01002,,derived-core-code-requires-api-fixture-check
core-set-3-backflip,Core Set,Caja básica,3,Backflip,Voltereta hacia atrás,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01003,,derived-core-code-requires-api-fixture-check
core-set-4-enhanced-spider-sense,Core Set,Caja básica,4,Enhanced Spider-Sense,Sentido arácnido mejorado,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01004,,derived-core-code-requires-api-fixture-check
core-set-5-swinging-web-kick,Core Set,Caja básica,5,Swinging Web Kick,Balanceo con patada,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01005,,derived-core-code-requires-api-fixture-check
core-set-6-aunt-may,Core Set,Caja básica,6,Aunt May,Tía May,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01006,,derived-core-code-requires-api-fixture-check
core-set-7-spider-tracer,Core Set,Caja básica,7,Spider-Tracer,Rastreador arácnido,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01007,,derived-core-code-requires-api-fixture-check
core-set-8-web-shooter,Core Set,Caja básica,8,Web-Shooter,Lanzarredes,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01008,,derived-core-code-requires-api-fixture-check
core-set-9-webbed-up,Core Set,Caja básica,9,Webbed Up,Envuelto en telaraña,Player,Spider-Man,Spiderman,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01009,,derived-core-code-requires-api-fixture-check
core-set-10-captain-marvel,Core Set,Caja básica,10,Captain Marvel,Capitana Marvel,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01010a,01010b,verified-upstream-json-2026-09-07
core-set-11-spider-woman-jessica-drew,Core Set,Caja básica,11,Spider-Woman: Jessica Drew,Spiderwoman: Jessica Drew,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01011,,derived-core-code-requires-api-fixture-check
core-set-12-crisis-interdiction,Core Set,Caja básica,12,Crisis Interdiction,Evitar una crisis,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01012,,derived-core-code-requires-api-fixture-check
core-set-13-photonic-blast,Core Set,Caja básica,13,Photonic Blast,Rayo fotónico,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01013,,derived-core-code-requires-api-fixture-check
core-set-14-energy-absorption,Core Set,Caja básica,14,Energy Absorption,Absorción de energía,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01014,,derived-core-code-requires-api-fixture-check
core-set-15-alpha-flight-station,Core Set,Caja básica,15,Alpha Flight Station,Base orbital de Alpha Flight,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01015,,derived-core-code-requires-api-fixture-check
core-set-16-captain-marvel-s-helmet,Core Set,Caja básica,16,Captain Marvel's Helmet,Casco de la Capitana Marvel,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01016,,derived-core-code-requires-api-fixture-check
core-set-17-cosmic-flight,Core Set,Caja básica,17,Cosmic Flight,Vuelo cósmico,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01017,,derived-core-code-requires-api-fixture-check
core-set-18-energy-channel,Core Set,Caja básica,18,Energy Channel,Canalizar energía,Player,Captain Marvel,Capitana Marvel,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01018,,derived-core-code-requires-api-fixture-check
core-set-19-she-hulk,Core Set,Caja básica,19,She-Hulk,Hulka,Player,She-Hulk,Hulka,https://marvelcdb.com/set/core,https://es.marvelcdb.com/set/core,01019a,01019b,verified-upstream-json-2026-09-07
